Stazione,Indirizzo,Comune,Provincia,lat,lon
Ala,"Piazzale della Repubblica, 9",Ala,TN,45.759167346392424,10.996484869580248
Avio,Via G. Cantore,Avio,TN,45.733849631578245,10.95623114629424
Borghetto sull'Adige,Via XXVII Maggio,Avio,TN,45.696905883181465,10.926943609458977
Borgo Valsugana Centro,"Piazza Bordignon, 2",Borgo Valsugana,TN,46.05160489774288,11.454775942060843
Borgo Valsugana Est,Via Hippoliti,Borgo Valsugana,TN,46.05266680098239, 11.463863853587403
Caldonazzo,"Viale Stazione, 1",Caldonazzo,TN,45.997639649614875, 11.264862305553077
Grigno,Via Stazione,Grigno,TN,46.01514329091067, 11.63556459205933
Lavis,"Via Stazione, 29 - Loc. Zambana",Lavis,TN,46.137181232445016, 11.109911592062462
Levico Terme,Piazza Stazione,Levico Terme,TN,46.00617004920675, 11.305488080411854
Mezzocorona,"Piazza Trento, 20",Mezzocorona,TN,46.20756410113651, 11.128954466922735
Mori,"Via alla Stazione, 1 - Loc. Mori Stazione",Rovereto,TN,45.86107358114598, 11.002080693902396
Pergine,"Piazza Stazione, 3",Pergine Valsugana,TN,46.062811034240255, 11.233181449731065
Povo-Mesiano,Via Mesiano,Trento,TN, 46.0649234, 11.1425787
Roncegno Bagni-Marter,"Via Nazionale, 28",Roncegno,TN,46.036584818858145, 11.399548951011473
Rovereto,"Piazzale Orsi, 10",Rovereto,TN,45.891185299865924, 11.034391607397316
S.Cristoforo al Lago-Ischia,"Via Stazione, 5",Pergine Valsugana,TN,46.039980166641634, 11.234323151577431
Serravalle all'Adige,"Corso G. Cantore, 30",Ala,TN,45.808431472677356, 11.016067462565932
Strigno,SS 47 della Valsugana - Loc. Barricata,Villa Agnedo,TN,46.05127268480472, 11.514685047883919
Tezze di Grigno,"Via Fabio Filzi, 3/C - Fraz. Tezze",Grigno,TN,45.990615499631936, 11.670415287799113
Trento,"Piazza Dante, 9",Trento,TN,46.07225673997889, 11.119563201861139
Trento S. Bartolameo,Località Masi S. Bartolameo,Trento,TN,46.047739954629286, 11.135452347883774
Trento S. Chiara,Via Gocciadoro,Trento,TN,46.054619080690784, 11.135721376719319
Villazzano,"Via Banala, 15 - Fraz. Villazzano",Trento,TN,46.04477596458574, 11.139431608168818

